Gene Name	SRR867740	SRR867737	SRR867735	SRR867739	SRR867736	SRR867738
HRAT92	38	9	16	23	13	44
RAB9AP2	0	0	0	0	0	0
LINC01805	0	1	0	0	0	0
NPM1P19	11	10	7	3	12	9
HLA-DPB1	3	1	1	0	1	1
SAP18P2	10	7	8	8	6	6
LINC01921	0	0	0	0	0	0
NBEAP3	0	0	0	0	1	0
RPS27P1	0	0	0	0	0	0
RPS8P10	0	0	0	0	0	0
PPIAP53	26	15	10	6	9	15
LINC01078	0	0	0	0	0	0
ABCC5-AS1	1	1	2	1	1	0
LINC01707	1	1	2	1	0	0
FAM90A13P	0	0	0	0	0	0
OSER1-DT	33	38	25	21	30	29
GNL2P1	0	0	0	0	0	0
CCNJP2	2	0	0	0	0	0
SEC13P1	5	2	1	1	2	1
RPL23P4	0	0	1	0	0	0
HMGB1P12	0	0	0	0	0	0
ZNF32-AS3	0	2	0	0	0	0
EEF1A1P36	1	1	0	0	2	0
LINC02471	0	0	0	0	0	0
DPPA2P1	0	1	0	0	0	0
MTND1P27	0	0	0	0	0	1
ASS1P2	3	6	2	2	1	2
TNS1-AS1	1	1	1	0	1	0
NUP35P1	16	12	20	13	29	8
LGALSL-DT	4	3	2	1	1	2
KRT8P8	7	3	5	3	4	2
LINC01014	0	1	0	0	0	0
ROR1-AS1	1	2	2	0	3	1
H2ACP2	1	6	2	3	2	2
C1QTNF5	0	0	0	0	0	0
MTND6P1	0	0	0	0	0	0
LINC01767	0	2	0	2	0	0
AFG3L1P	264	173	165	125	183	229
CHROMR	747	563	576	405	757	481
UBBP3	0	0	0	0	0	0
THAP12P8	0	0	2	0	0	0
ZNF587P1	6	4	0	3	2	4
DDX11L1	1	0	0	1	3	0
PAFAH1B1P2	18	17	17	2	14	23
BNIP3P42	3	2	0	0	1	4
EXTL2P1	2	1	1	0	1	1
ZNF736P1Y	0	0	0	0	0	0
SMCR2	1	0	0	0	0	0
SNRPD2P2	0	0	0	0	0	0
HNRNPRP1	61	71	53	46	84	52
LINC01874	0	1	0	0	0	0
RPL26P28	1	0	0	0	1	1
LINC02647	0	1	0	0	0	0
RPL32P35	0	0	0	0	0	0
TRDD1	0	0	0	0	0	0
YES1P1	3	2	2	1	3	4
ATP5F1CP1	2	4	3	2	1	3
USP12P2	3	0	0	0	1	1
LINC01441	0	2	0	0	0	0
LINC01449	0	1	0	0	0	0
RPL21P32	0	0	0	0	0	2
MIR181A2HG	77	46	43	39	49	60
EDRF1-DT	10	13	2	7	5	6
LINC01853	0	0	0	0	0	0
TCEAL3-AS1	0	0	2	0	2	3
EPB41L4A-AS1	305	255	257	195	312	259
CDY8P	0	0	0	0	0	0
LINC02561	18	8	6	4	6	13
SFPQP1	0	0	0	0	0	0
CDYLP1	0	0	0	0	0	0
HMGN1P4	3	2	5	0	1	2
IGKV3D-15	0	0	0	0	0	0
MTND4P6	0	0	0	0	0	0
CCNT2-AS1	2	6	1	5	1	5
PAEPP1	0	1	0	0	0	0
LINC02612	2	0	0	0	2	0
CPTP	708	574	609	437	596	599
GAPDHP55	5	3	1	1	1	3
EGFR-AS1	40	427	13	11	15	17
HSPA8P16	2	5	1	1	4	4
ARSLP1	0	0	0	0	0	0
SRSF3P4	1	2	0	1	4	1
TUBB4BP5	0	0	0	0	0	0
RPL32P6	1	0	0	0	0	0
SRIP2	0	0	0	0	0	0
HMGN1P6	0	0	0	0	0	0
DNMT3AP1	0	0	0	0	0	0
VEZTP1	15	9	6	9	4	17
LINC00691	0	4	1	0	1	1
TTTY22	0	0	0	0	0	0
SNHG14	1002	772	743	490	975	812
UBE2FP1	24	15	16	11	23	15
SLC44A3-AS1	75	45	41	31	60	42
UBTFL8	0	1	0	0	0	0
MTCO1P11	3	4	0	2	1	1
RPL23AP41	0	0	0	0	0	0
PPM1F-AS1	233	176	138	134	170	213
POTEF-AS1	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0
BCAR3-AS1	21	8	13	9	7	12
RPS24P8	12	22	11	11	14	8
LINC01935	0	1	0	0	0	0
ELMO1-AS1	0	1	0	0	0	0
CYP4F25P	0	0	0	0	0	0
ETDB	0	0	0	0	0	0
CENPVL3	0	1	0	0	0	0
MTRF1LP2	0	1	0	0	0	0
INHBA-AS1	2	6	2	0	0	1
PTPN2P2	1	3	0	0	1	0
ATG12P2	3	1	2	1	2	7
POU6F2-AS1	0	0	0	0	0	0
POM121L10P	0	0	0	0	0	0
UBE2SP2	33	36	47	16	54	26
LINC01248	0	0	0	0	0	0
DPPA2P2	0	0	0	0	0	0
LINC01857	0	1	0	0	0	0
MIR548XHG	0	2	0	0	0	0
AMMECR1-IT1	2	2	0	4	1	4
ASH2LP1	0	0	0	0	0	0
USP9YP28	0	0	0	0	0	0
LINC02054	0	1	0	0	1	1
HCG14	3	2	3	2	3	4
HMGB1P9	1	3	1	0	0	0
CICP10	0	0	0	1	0	0
RPS26P54	4	0	1	0	4	0
UQCRHP3	0	0	0	0	0	0
LINC02828	2	0	0	1	1	1
DNAJC27-AS1	9	12	2	4	4	3
PRYP1	0	0	0	0	0	0
LINC01357	1	1	1	2	4	3
HSFY6P	0	0	0	0	0	0
LINC02831	8	4	3	1	1	4
LINC00570	22	4	12	11	14	14
SDHDP6	3	1	0	1	0	3
MIR3681HG	0	3	0	0	0	0
SNX18P9	0	0	0	0	0	0
C5orf66	84	66	52	47	51	79
LINC01991	0	1	0	1	0	1
UBE2D3P4	0	0	0	0	0	0
HAGLR	1	6	0	1	0	1
LINC02667	0	0	0	0	0	0
SEZ6L-AS1	0	2	0	0	0	0
RPS23P10	0	1	0	0	0	0
PHEX-AS1	0	1	0	1	0	0
ZCRB1P1	48	42	35	26	43	24
LINC00466	1	3	3	0	0	1
TRIM60P5Y	0	0	0	0	0	0
PRPF4BP1	1	0	0	0	0	0
SEC61GP1	0	0	0	1	0	0
DTNB-AS1	0	2	1	1	0	0
RPS6P8	0	0	0	1	0	1
LINC02636	0	0	0	0	0	0
VSTM2A-OT1	0	1	0	1	0	0
HAUS1P2	1	3	1	0	0	0
OR2L1P	0	1	0	0	0	0
LINC01832	0	2	0	0	0	0
KCTD5P1	1	1	0	0	2	1
OR2J4P	0	2	0	0	0	0
MRRFP1	3	2	3	1	2	1
MICOS10P3	1	1	0	0	0	0
WARS2-IT1	4	1	2	2	3	2
CYCSP49	0	0	0	0	0	0
SOX1-OT	0	2	0	0	0	0
KRT224P	0	1	0	1	0	0
MTCO1P39	0	0	0	0	0	0
PDCL3P6	1	1	2	0	2	0
VWC2L-IT1	0	1	0	0	0	0
LINC01133	769	389	429	452	514	545
RPSAP18	8	7	6	3	7	6
CYCSP12	0	0	1	0	0	0
LINC02633	0	0	0	0	0	0
ENSAP1	1	0	0	0	1	0
ARHGEF2-AS1	0	2	0	0	0	0
RPS29P31	0	0	0	0	0	0
SLC25A5-AS1	44	22	22	16	28	30
LINC01142	0	2	0	0	1	0
MSL3P1	13	9	9	5	14	11
MTCYBP11	0	0	0	0	0	0
IFIT6P	9	8	4	6	4	4
RPL38P6	1	4	4	2	1	3
PINCR	16	1	5	8	4	13
OLFM5P	3	4	2	0	1	1
MRPL49P1	0	0	0	0	0	0
MTATP6P16	0	0	0	0	0	0
OR51P1P	0	0	0	0	0	0
LINC01527	0	0	0	0	0	0
ANKRD30BP2	0	0	0	0	0	0
LINC01567	0	6	0	0	1	1
MCCD1P2	0	1	2	0	1	1
TCERG1P1	0	0	0	0	0	0
RPL7P7	4	2	3	1	4	2
GTF2IP5	2	1	2	0	1	1
CHL1-AS2	0	0	0	0	1	2
RPL12P14	22	28	30	7	35	16
DPRXP1	4	3	4	6	6	6
THAP5P1	9	3	1	9	3	4
MDC1-AS1	0	1	0	0	0	1
LINC00297	0	0	0	0	0	0
GAPDHP20	0	1	0	1	0	1
FAM197Y1	0	0	0	0	0	0
FAM8A3P	0	0	0	0	0	0
MTCYBP45	0	0	1	0	0	0
SC4MOP	0	1	0	0	0	1
AKR7A2P2	0	0	0	0	1	0
KNOP1P3	0	1	0	0	0	0
BICD1P1	0	0	0	0	0	0
SCEL-AS1	0	0	0	0	0	0
FAM135A-AS1	1	3	0	0	1	1
CDKN2AIPNLP3	0	0	0	0	0	0
ACE3P	0	0	0	0	0	0
MTND2P5	0	1	0	0	0	0
ATG3P1	0	0	0	0	0	0
TMCO1-AS1	23	11	10	14	16	19
OACYLP	15	10	9	10	9	6
ARAFP2	0	0	0	0	0	0
HLA-N	0	0	0	0	0	0
IGHV4-59	0	0	0	0	0	0
LINC00703	2	3	0	0	0	0
PRR29	6	15	8	3	9	12
BACE2-IT1	0	0	0	0	0	0
C4B	26	4	4	11	15	19
LINC01280	0	0	0	0	0	0
GPC6-AS2	0	1	0	0	0	0
METTL15P3	0	0	0	0	1	0
PELATON	27	16	12	13	17	13
RPL7P57	9	4	4	3	6	2
OR6D1P	0	3	0	0	1	0
DPPA2P3	3	0	0	0	0	0
LINC00572	0	1	0	0	0	0
LINC02052	0	1	0	0	0	0
USP9YP22	0	0	0	0	0	0
HSP90AA2P	500	617	717	242	708	327
IFNA22P	0	1	0	0	1	0
STK24-AS1	24	21	14	18	17	19
KRT18P27	2	2	2	0	2	3
ADM5	8	9	8	8	7	8
ATP5MFP1	1	4	1	2	0	0
PRKAR2A-AS1	43	19	14	23	20	44
SSBP3P2	3	2	0	2	0	1
SLC31A1P1	1	2	4	2	0	0
LINC00539	0	4	0	0	2	0
MKRN5P	15	7	4	10	3	6
NF1P6	0	0	0	0	0	0
PIGUP1	18	18	19	13	29	13
RPL23AP14	0	1	0	0	0	0
RPSAP10	0	1	0	0	0	0
CXorf51A	0	0	0	0	0	0
RPL4P7	1	1	1	0	0	0
NME2P2	0	1	0	0	0	0
LINC01708	0	0	0	0	0	0
H3P26	3	0	0	2	1	2
ATP5PBP1	2	1	1	0	0	1
RSL24D1P6	1	2	1	0	0	0
GUSBP6	0	0	0	0	0	0
SLC25A34-AS1	0	1	0	0	0	0
C4BPAP1	0	3	1	0	0	0
RPL39P14	4	1	3	1	2	0
PGAM1P6	3	4	1	1	2	2
SOCS2P2	0	0	0	0	0	0
CDCA4P2	0	0	0	0	0	0
TANK-AS1	0	2	0	0	0	0
LAMC1-AS1	18	10	9	4	5	7
ATXN1L	1850	1299	1268	892	1692	1460
MTCO3P19	1	0	0	0	0	1
CCND3P1	1	1	0	1	2	0
RPL36P16	1	0	1	0	0	1
HSFY4P	0	0	0	0	0	0
USP9YP7	0	0	0	0	0	0
SAMM50P1	1	4	0	4	0	4
TTC21B-AS1	7	6	4	6	8	12
HNRNPA3P14	1	1	1	0	0	0
RPL36P4	0	0	0	0	0	0
MAPKAPK5P1	0	1	0	0	0	0
LINC02523	0	0	0	0	0	3
MRPS9-AS2	0	1	0	2	0	0
POLR2KP2	0	0	0	0	0	0
LINC00365	0	3	1	0	0	0
LINC00620	0	0	0	0	0	0
HTR2A-AS1	0	0	0	0	0	0
HMGN1P19	0	0	2	0	0	0
KRT8P45	26	17	19	14	24	17
CYCSP42	0	0	0	0	0	0
PPIAP10	5	1	1	1	2	4
SMIM13	858	552	588	430	642	529
TMLHE-AS1	2	2	2	0	2	0
LINC02771	0	1	0	0	0	0
MEP1AP4	0	2	0	0	0	0
SAGE4P	0	3	0	0	0	0
TFDP1P1	1	3	0	1	0	3
SNRPGP15	17	7	3	9	10	9
EIF4BP3	82	67	56	33	95	54
ZNF619P1	1	1	1	0	1	0
NDUFA4P1	209	159	135	108	160	95
HMGB3P21	0	2	0	1	0	1
RPS26P20	1	2	0	0	0	1
HLA-DPB2	0	0	0	1	1	0
LINC01087	0	2	0	0	0	0
LPP-AS1	2	2	0	0	3	2
LINC01754	5	1	2	0	0	0
FAM96AP2	25	23	14	15	20	16
LINC01886	11	12	15	3	15	6
USP9YP13	0	0	0	0	0	0
COL18A1-AS2	2	3	1	0	0	3
LINC01117	3	0	1	0	4	2
HNRNPA1P48	147	106	112	86	101	116
LINC01015	0	4	0	0	0	0
UBE2V1P13	3	4	1	2	1	6
GPX5	0	4	0	0	0	1
ORC1P1	0	1	0	0	0	0
MTND3P16	0	0	0	0	0	0
MIR3659HG	1	0	0	0	0	0
RPL29P19	2	1	0	1	1	0
ZMIZ1-AS1	11	15	9	5	17	12
SVIL-AS1	477	454	386	212	493	333
RPS5P2	3	3	1	1	6	3
BMS1P12	1	0	1	1	0	1
RPS26P5	0	2	0	0	0	0
TGFA-IT1	0	0	0	0	1	0
IGKV1D-27	0	0	0	0	0	0
FGGY-DT	24	14	6	10	12	15
TNK2-AS1	3	7	4	6	3	8
RTCA-AS1	22	4	7	5	8	8
MEF2AP1	0	0	0	0	0	0
OR9R1P	0	0	0	0	0	0
TUBB8P6	1	2	1	0	0	0
RPL37P10	0	0	0	0	0	0
RPS27AP16	291	368	336	145	311	224
NUDT19P2	0	0	0	0	0	0
ZNF736P6Y	0	0	0	0	0	0
PDSS1P2	1	3	1	0	0	2
SRSF1P1	0	1	0	0	0	0
RPS28P5	0	0	2	0	1	0
LINC01627	0	1	0	0	0	0
IGHV3-74	0	1	0	0	0	0
LINC00885	0	0	1	0	0	1
LINC01823	0	0	0	1	0	0
SMSP1	1	1	0	0	0	0
RBMY2BP	0	0	0	0	0	0
GAGE12J	0	0	0	0	0	0
SH3BP5-AS1	128	71	61	84	92	143
ATP6V1G1P3	0	0	0	0	0	1
RPL36AP53	1	0	0	1	1	0
ETV7-AS1	5	4	1	1	1	6
IPO8P1	83	60	50	35	51	39
RPL17P10	2	0	0	0	0	0
EIF3EP2	0	0	0	0	0	0
PDIA3P2	0	1	0	0	1	1
GAPDHP46	15	11	9	8	14	5
MED15P4	0	0	0	0	0	0
PLA2G12AP1	2	4	6	2	2	8
SOCS5P2	0	2	0	0	0	0
RPL36AP29	0	1	0	0	0	0
ELOCP23	0	0	0	0	0	0
RASAL2-AS1	42	42	29	25	32	24
E2F6P2	0	0	0	0	0	0
ZNF812P	0	1	0	2	0	0
UBE2D3P3	1	3	0	0	1	0
MTND6P7	1	0	0	0	0	0
NEFMP1	0	1	0	0	0	0
LAMTOR5-AS1	119	76	63	64	67	79
MED28P4	0	0	0	0	0	0
LMX1A-AS2	0	1	0	0	0	0
RPS17P13	0	1	0	0	0	0
E2F3-IT1	5	1	5	5	1	2
OR11M1P	0	1	1	0	0	0
LINC01706	0	1	0	0	0	0
NPIPA3	0	0	0	0	0	1
LINC02671	0	0	0	0	0	0
LEMD1-DT	0	6	0	0	0	0
LINC01657	0	3	0	0	0	2
GUSBP10	0	1	0	0	2	0
CEP57L1P1	34	19	28	15	23	21
FCF1P7	5	4	7	5	5	1
IMPDH1P8	23	21	12	12	21	18
PCOLCE-AS1	3	4	1	0	5	2
LILRB1-AS1	0	0	0	0	0	0
MAGEA7P	0	0	0	0	0	0
TEX26-AS1	0	2	1	0	0	0
MTCYBP21	0	3	0	0	0	0
SHMT1P1	3	2	0	1	0	2
VN1R21P	0	0	0	0	0	0
HMGN1P34	0	0	0	0	0	0
LINC01167	0	0	0	0	0	0
C1DP3	0	0	0	0	0	0
CCNYL4	0	0	0	0	0	0
FDPSP8	87	78	60	35	71	48
MUC20P1	0	0	0	0	0	0
ATP2B2-IT2	0	0	0	0	0	0
HSPA8P7	10	16	12	2	15	3
BRAFP1	1	1	1	0	0	1
RPSAP50	0	0	0	0	0	0
OR4F2P	0	0	0	0	0	0
CENPIP1	0	0	0	0	0	0
EIF4A2P4	43	28	20	24	31	23
MIPEPP2	0	0	0	0	0	0
S100A15A	0	0	0	0	0	0
CETN4P	23	12	18	12	13	7
LINC02670	0	0	0	0	0	0
KRT18P39	6	6	11	5	8	6
IQCF4P	0	1	0	0	0	0
NTM-AS1	0	0	0	0	0	0
RPL32P1	0	1	0	1	0	0
RPS27AP6	4	5	0	1	6	1
TUBB4BP2	7	3	2	1	2	5
LINC00853	5	1	4	1	3	3
ARL5AP4	3	2	6	3	7	0
DUX4L9	3	9	1	0	0	1
SRGAP3-AS1	0	2	0	0	0	0
BEND3P2	0	0	0	0	0	1
TMEM72-AS1	0	0	0	0	1	0
NAP1L4P2	0	0	0	0	0	0
BTF3P4	2	0	0	0	0	0
COL4A2-AS2	5	7	3	1	4	8
THRB-IT1	1	3	1	0	0	1
RORB-AS1	0	0	0	0	0	0
USP21P1	0	0	0	0	0	0
LINC00265-2P	0	0	0	0	0	0
TOMM20P1	0	0	0	0	0	0
OR2X1P	0	0	0	0	0	0
TMEM183B	41	33	29	28	46	28
LINC01689	0	4	0	0	0	0
BTF3P9	1	1	1	0	0	0
GCSHP5	13	14	12	4	12	7
RPL12P17	1	1	0	0	0	0
LINC00240	14	6	13	5	5	13
NQO2-AS1	0	0	0	4	1	2
LINC00502	0	0	0	0	0	0
MTND5P24	0	2	0	0	0	0
LINC00393	0	5	0	0	0	0
CDKN2A-DT	43	25	23	32	55	31
OPA1-AS1	3	1	1	0	2	5
RPL35AP36	5	1	1	0	3	4
LINC01691	1	0	0	1	0	0
RPL29P11	6	1	1	3	0	3
GXYLT1P2	0	1	0	0	0	0
YBX1P1	15	13	24	15	19	20
LINC01398	0	2	1	0	0	0
USP9YP25	0	0	0	0	0	0
MRPL20-AS1	637	469	466	355	412	515
CDY13P	0	0	0	0	0	0
EML4-AS1	5	1	1	2	7	8
NDUFAF8	526	668	549	252	731	322
MTCYBP29	0	0	0	0	0	0
EIPR1-IT1	1	1	1	0	1	1
NFYCP2	4	8	1	0	5	1
ARL14EPP1	18	13	4	6	6	20
RPS4XP16	8	12	6	2	5	6
LINC02840	0	0	1	0	1	0
VPS26BP1	2	2	1	0	1	2
SIGLEC30P	0	0	0	0	0	0
POT1-AS1	167	83	70	78	85	98
LINC02830	2	1	2	1	7	4
GAGE12H	1	1	2	1	3	0
RNF32-AS1	4	2	1	5	4	2
SBF1P2	4	6	0	3	2	6
SRP14P1	45	29	29	15	36	24
RPL21P91	0	0	0	0	0	0
TIMM8BP2	0	3	5	1	0	0
LINC01766	0	0	1	0	0	0
LINC00863	6	3	4	2	8	9
APOC4-APOC2	0	0	0	0	0	0
TACC1P1	0	0	0	0	0	0
LINC00320	0	2	0	0	0	0
NDUFA5P10	1	1	0	0	0	1
KRT8P30	1	1	2	1	2	4
LINC02262	0	0	0	0	1	0
LINC01034	0	0	0	0	0	0
SUCLA2P1	24	9	21	13	24	17
LINC00184	5	6	0	6	0	4
PRRT4	0	5	0	0	0	0
EEDP1	4	7	6	2	5	4
LINC02819	0	0	0	0	0	0
CASC6	1	0	0	0	0	0
VN1R25P	0	0	0	0	0	0
ATP5MC1P8	0	0	0	0	0	0
RPL37P24	0	0	0	1	0	1
SRIP3	1	0	1	3	1	2
KCTD10P1	0	0	0	0	0	2
LINC01266	0	2	1	0	0	0
PGM5-AS1	0	0	0	0	0	0
PPP4R3C	1	0	0	0	0	0
LINC01752	0	1	2	0	0	0
PSAT1P4	1	2	0	0	0	0
ECMXP	2	1	1	0	0	1
TRAPPC2P3	0	0	0	0	0	0
LINC02586	0	1	0	0	1	0
TBC1D3P6	0	2	0	0	1	0
LINC01645	0	0	0	0	0	0
SUMO2P3	1	1	1	0	1	0
LARGE-AS1	0	5	0	0	0	0
INE1	54	39	33	32	30	54
PARP4P2	33	14	9	12	21	24
LINC02776	2	0	0	0	0	2
CD84P1	0	0	0	0	0	0
RPL23AP85	0	0	0	0	0	0
TMEM233	0	3	1	0	4	0
PPP1R8P1	0	2	0	0	0	0
FAM41AY1	0	0	0	0	0	0
RPL29P12	2	2	1	2	4	6
LINC01526	1	0	0	0	0	0
VTA1P1	0	0	0	0	0	0
OR51A5P	0	0	0	0	0	1
TWF1P2	2	2	0	0	1	1
KCTD9P1	2	3	1	2	3	0
LINC00328-2P	0	0	0	0	0	0
UBE2D3P1	204	172	153	144	238	186
RPL37P11	99	87	86	29	119	128
KIF4CP	1	0	0	0	0	1
IFNWP4	0	0	0	0	0	0
EIF4BP7	320	257	250	153	264	180
CDK4P1	0	0	0	0	0	0
EIF1AX-AS1	9	3	7	5	7	7
LINC01058	6	1	2	1	2	3
RPL18AP2	5	0	4	4	6	1
MTND5P27	0	1	0	0	0	0
HMGB3P22	5	1	3	2	2	3
PRPF38AP1	10	16	8	5	14	8
CATIP-AS1	2	0	2	0	0	2
TMCC2-AS1	1	2	0	0	0	0
LINC01802	0	0	0	0	0	0
MDM4P1	0	0	0	0	0	0
RPL23AP2	1	0	0	0	0	1
RPS26P58	0	1	1	2	1	0
OR7E116P	0	0	0	0	0	0
WWC3-AS1	0	0	0	0	0	0
LINC00337	26	20	15	25	26	30
FTH1P22	0	1	0	0	0	0
PFN1P4	0	0	0	0	0	0
DAP3P1	0	0	1	1	1	1
GRTP1-AS1	7	5	2	2	4	3
SNORA71A	320	216	289	126	143	206
RPL3P7	317	296	319	169	299	260
SETP20	40	49	37	17	49	29
BCRP1	1	0	0	0	0	0
ATP6V1E1P1	29	16	17	14	29	22
DPY19L2P5	0	0	0	0	0	0
OR52K3P	67	51	49	42	63	66
LINC01076	0	0	0	0	0	0
ZBTB45P1	0	0	0	0	0	0
PNMA6F	0	1	0	0	0	0
ARSDP1	0	2	0	0	0	0
EEF1B2P5	0	0	0	0	0	2
RPL23AP36	2	2	0	0	1	1
RANP4	0	1	0	1	2	1
CAMTA1-AS1	0	1	0	0	0	1
LINC00237	0	1	0	0	0	0
LINC00972	0	0	0	0	0	0
PSME2P2	102	50	56	54	58	48
MORF4L1P4	0	1	0	0	0	0
PGBD4P5	0	0	0	0	0	0
DYNC1I2P1	334	262	279	193	309	219
SLC9A3-AS1	577	263	223	314	216	468
RPS12P10	0	0	0	0	0	0
GOLGA2P7	10	3	2	1	2	4
TUBAP9	0	1	0	0	0	0
TOMM22P5	0	1	1	1	2	1
HSPE1P24	0	0	0	0	0	0
NPM1P39	174	162	166	75	214	121
RTRAFP2	130	78	54	69	96	88
TXNP2	0	0	0	0	0	0
BRI3P1	5	3	2	0	0	3
DUTP6	8	4	2	1	5	7
OSTM1-AS1	0	1	0	0	0	0
ATP5MGP4	3	4	2	1	2	3
RPSAP58	316	298	204	131	283	180
LINC00457	0	0	0	0	0	0
PVALEF	2	0	1	0	1	0
PPIAP8	0	3	1	1	1	0
REREP1Y	0	0	0	0	0	0
PLEKHM1	369	282	292	209	318	279
ZNF33BP1	0	1	0	0	0	0
RPS12P26	79	60	44	29	46	51
LINC00092	2	1	2	1	1	1
RPL10P17	0	0	0	0	1	0
SSXP3	0	1	0	0	0	0
MIR137HG	156	116	116	80	134	104
DUXAP9	1	2	2	2	0	3
AKR1B1P6	0	0	0	0	1	0
SMARCE1P1	18	14	11	10	18	18
HSPA7	0	2	0	0	0	1
PLA2G12AP2	0	0	0	0	0	0
CHCHD4P5	2	0	1	1	0	5
RPS27AP12	4	8	7	7	7	7
ARL2BPP10	0	0	0	0	0	0
LINC01795	0	1	0	0	0	0
LINC02470	0	0	0	0	0	0
TRAPPC12-AS1	15	11	5	7	13	8
INTS6L-AS1	0	1	0	1	1	0
GEMIN7P1	0	0	0	0	0	0
RPL21P107	0	1	0	0	0	0
COX6B1P7	0	0	0	0	0	0
RPS2P1	1	3	1	1	0	0
LINC00378	0	0	0	0	0	0
RPL5P25	0	0	0	0	0	1
ARMC8P1	1	3	0	1	1	0
PSLNR	0	0	0	0	0	0
TRAPPC2P5	0	0	0	0	0	0
ST13P6	5	9	4	2	3	5
PCDH9-AS3	0	0	0	0	1	0
ZNRF2P2	4	6	4	2	2	4
TAF1A-AS1	13	11	12	7	11	25
RPL8P2	28	26	30	13	39	24
LINC00705	2	0	0	0	3	3
CICP12	0	1	1	0	0	0
NOLC1P1	1	1	0	0	0	1
NUP210P2	0	0	0	0	0	0
MTND1P18	0	0	0	0	0	0
LINC01770	0	1	1	0	0	0
OFD1P13Y	0	0	0	0	0	0
RPL29P29	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
OSTCP2	0	0	0	0	0	0
MTND4P4	0	1	0	0	0	0
LINC00113	0	2	0	0	0	0
ASS1P11	1	3	0	3	1	1
DNAJC19P4	0	0	0	0	0	0
LINC00350	0	1	0	0	0	1
LINC01427	0	4	0	0	0	0
HBAP1	0	1	0	0	0	0
USP9YP19	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0
LINC01594	0	1	0	0	0	0
LHFPL3-AS2	0	4	0	0	0	3
LINC01678	0	0	0	0	0	0
LINC02813	0	0	0	0	0	0
HMGB3P1	0	0	0	0	0	1
RPL23AP18	3	3	1	3	2	5
LRRK2-DT	1	2	1	1	1	0
RPL21P66	0	0	0	0	0	0
SNX18P3	36	18	18	16	35	37
SLC25A5P8	3	0	1	1	0	5
ANKRD49P2	0	0	0	0	2	3
FREM2-AS1	0	0	0	0	0	0
RPL31P53	0	1	0	0	0	0
RPL7AP52	0	2	0	0	0	0
ARL6IP1P2	0	3	2	0	0	0
RPF2P1	18	22	25	9	29	17
MIPEPP1	0	0	0	0	0	0
PPP1R26-AS1	124	82	86	54	102	99
CT62	9	9	5	8	4	8
ATP6V0E1P1	3	1	1	3	1	1
TDGF1P3	0	0	0	0	0	0
CAPZA1P2	0	0	0	0	0	0
CICP8	3	4	0	2	0	2
TMEM246-AS1	4	3	1	3	3	4
NRSN2-AS1	48	31	29	29	34	40
IGKV1OR9-2	0	0	0	0	0	0
RPS5P7	0	1	0	1	0	1
SFTA1P	0	4	3	0	9	0
NHEG1	0	0	0	0	0	0
MRPL36P1	2	0	0	0	0	1
FAM236D	0	0	0	0	0	0
PGM5P4	0	0	0	0	0	0
RAB28P5	0	0	0	2	1	2
TGIF2P1	4	3	2	3	2	1
RPL26P34	0	1	1	1	0	0
RPS15AP17	8	5	12	2	8	11
ELF2P4	2	1	0	6	4	9
LINC02557	0	1	0	0	0	0
ACKR4P1	0	0	0	0	0	1
AKR1C5P	5	0	0	0	1	0
RPL21P3	0	1	0	2	3	1
RBMS1P1	143	157	125	81	170	96
TNPO1P1	87	67	52	40	83	60
LINC00331	0	0	0	0	0	0
NDUFB4P7	0	0	0	0	0	0
LINC01671	0	2	0	0	0	0
MTND1P12	0	0	0	0	0	0
LINC01504	4	2	3	2	0	2
PACRG-AS2	0	0	0	0	0	0
KRT41P	0	1	0	0	0	1
BOLA3-AS1	14	11	22	12	13	12
MPRIP-AS1	14	16	9	19	22	22
LINC01867	0	0	0	0	0	0
LINC01763	0	1	1	0	0	0
RPS15AP10	8	2	1	5	0	5
RAB6C-AS1	0	2	0	0	0	0
TPI1P4	0	1	1	0	0	1
FDPSP1	36	49	29	22	50	20
ZNF70P1	0	0	0	0	0	0
RFPL1S	30	20	20	13	23	17
OFD1P10Y	0	0	0	0	0	0
JPX	19	16	16	14	20	30
ATP13A4-AS1	0	1	0	0	0	0
MTCO3P5	0	0	0	0	1	0
PLCB1-IT1	1	3	0	3	1	1
RPS6P14	0	0	0	0	0	0
RPL22P4	0	0	0	0	0	0
NUTM2B-AS1	94	67	62	66	78	73
RPL35AP7	128	79	98	65	98	80
UBE2Q2P4Y	1	0	0	0	0	0
GBP1P1	499	199	200	273	241	377
LINC01107	0	1	0	0	1	0
RTRAFP1	89	50	47	44	51	48
KCNMA1-AS2	0	0	0	0	0	0
RPL15P4	2	4	1	1	0	1
SNRPFP3	0	0	0	0	0	0
GAPDHP16	1	2	0	0	0	0
CYP4A22-AS1	6	1	1	0	1	3
SSXP5	0	0	0	0	0	0
AIFM1P1	0	1	0	0	2	0
PCDH8P1	1	1	0	0	0	0
LINC00475	37	10	11	22	18	29
MTND1P34	0	0	0	0	0	0
FAM197Y5	0	0	0	0	0	0
LINC01703	0	1	0	2	1	4
SNED1-AS1	0	1	0	0	0	0
IGKV6D-21	0	0	0	0	0	0
MKRN2OS	8	6	7	4	9	6
SP3P	12	10	5	4	9	12
PAWRP1	0	0	0	0	1	0
